,FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
4,1,6123.547647058824,LEO,CCSFS SLC 40,1,False,False,False,,1.0,0,B0003
5,2,525.0,LEO,CCSFS SLC 40,1,False,False,False,,1.0,0,B0005
6,3,677.0,ISS,CCSFS SLC 40,1,False,False,False,,1.0,0,B0007
7,4,500.0,PO,VAFB SLC 4E,1,False,False,False,,1.0,0,B1003
8,5,3170.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1004
9,6,3325.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1005
10,7,2296.0,ISS,CCSFS SLC 40,1,False,False,True,,1.0,0,B1006
11,8,1316.0,LEO,CCSFS SLC 40,1,False,False,True,,1.0,0,B1007
12,9,4535.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1008
13,10,4428.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1011
14,11,2216.0,ISS,CCSFS SLC 40,1,False,False,False,,1.0,0,B1010
15,12,2395.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012
16,13,570.0,ES-L1,CCSFS SLC 40,1,True,False,True,,1.0,0,B1013
17,14,1898.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1015
18,15,4707.0,GTO,CCSFS SLC 40,1,False,False,False,,1.0,0,B1016
19,16,2477.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1018
20,17,2034.0,LEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1019
21,18,553.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,B1017
22,19,5271.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1020
23,20,3136.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021
24,21,4696.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1022
25,22,3100.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1023
26,23,2257.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1,B1025
27,24,4600.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,B1026
28,25,5500.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0,B1028
29,26,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1029
30,27,2490.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1031
31,28,5600.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1030
32,29,5300.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021
